sessionId,Session,Time,Club,Shot,Ball (m/s),Club (m/s),Smash,Carry (m),Total (m),Spin (rpm),Sidespin (rpm),Spin estimated,Height (m),Time (s),AOA (*),Spin Loft (*),Spin Axis (*),Lateral (m),Curve (m),Shape,Launch H(*),Launch V (*),Mode
5534658,2022-10-25 18:45:08,2022-10-25T18:48:08Z,7 Iron,1,52.298,39.118,1.3369,150.883,152.181,5451,-192,0,29.078,6.1968,-8.659,39.7718,-2.0184,-0.3521,-1.3597,0.364,18.744,straight,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:48:42Z,7 Iron,2,52.961,38.807,1.3647,152.473,153.7,5663,-534,1,28.0207,6.151,-3.473,27.8519,-5.4106,-3.4661,-3.7233,0.085,17.452,draw,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:49:29Z,7 Iron,3,57.322,41.654,1.3761,168.851,170.068,5515,259,0,33.9656,6.7379,-6.359,33.785,2.6917,11.2117,2.1838,3.055,17.906,straight,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:50:07Z,7 Iron,4,54.165,39.867,1.3586,155.816,156.829,5748,506,0,33.3879,6.5594,-6.326,37.5174,5.05,11.4295,3.7349,2.815,19.836,fade,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:52:06Z,7 Iron,7,54.141,40.076,1.351,154.668,155.573,6128,-1038,1,30.3858,6.3563,-7.952,37.3409,-9.7513,-10.1079,-7.1669,-1.109,17.855,draw,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:52:49Z,7 Iron,8,54.045,40.426,1.3369,161.348,163.517,4601,-670,0,32.1359,6.4667,-5.457,36.436,-8.3731,-5.8097,-5.9156,0.022,19.979,draw,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:53:29Z,7 Iron,9,55.832,42.896,1.3016,156.093,156.198,6224,-11,1,41.7086,7.1096,-6.124,43.9151,-0.1013,8.5169,-0.0813,3.147,23.387,straight,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:54:05Z,7 Iron,10,53.695,40.514,1.3253,150.694,151.344,6697,-921,1,30.2631,6.3269,-7.449,35.9969,-7.9039,-5.1541,-5.7786,0.222,17.784,draw,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:54:56Z,7 Iron,11,57.121,41.265,1.3842,168.415,169.674,5429,-839,0,34.868,6.7768,-7.588,38.1946,-8.8898,-10.4029,-7.1926,-1.108,18.718,draw,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:55:39Z,7 Iron,12,54.22,38.807,1.3972,155.959,157.009,5921,-572,0,28.793,6.2597,-7.332,33.7368,-5.5431,-4.6108,-4.0206,-0.232,16.824,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:45:14Z,8 Iron,1,51.2,39.082,1.3101,143.158,143.79,6055,-272,0,34.105,6.4695,-6.203,42.9751,-2.5746,-2.5644,-1.731,-0.354,22.811,straight,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:45:57Z,8 Iron,2,49.474,40.356,1.2259,136.912,137.704,6543,-221,1,23.7374,5.6785,-6.1,31.2859,-1.9354,5.823,-1.1585,2.896,16.823,straight,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:47:06Z,8 Iron,4,51.855,40.294,1.2869,146.32,147.146,6131,-649,0,31.5779,6.3368,-4.444,35.2012,-6.076,-4.6058,-4.1527,-0.201,20.468,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:47:51Z,8 Iron,5,51.223,40.667,1.2596,137.327,136.992,7265,321,0,36.1747,6.5828,-6.643,45.7526,2.5324,3.3754,1.7402,0.664,23.905,straight,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:48:39Z,8 Iron,6,51.469,40.829,1.2606,138.796,138.506,7600,-73,1,33.1251,6.4081,-7.755,43.0788,-0.5503,2.3014,-0.3803,1.086,21.337,straight,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:49:18Z,8 Iron,7,54.523,40.98,1.3305,152.027,152.132,6549,-264,1,38.0591,6.8452,-7.336,43.8786,-2.3102,0.2194,-1.7784,0.736,22.135,straight,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:50:15Z,8 Iron,8,53.401,41.163,1.2973,146.783,146.762,6444,-140,0,40.0274,6.9062,-4.802,43.6509,-1.2448,0.0458,-0.9228,0.357,24.571,straight,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:51:04Z,8 Iron,9,53.685,40.149,1.3371,148.975,149.084,6652,-589,1,36.8616,6.7364,-5.218,39.7893,-5.0798,-2.1416,-3.7985,0.617,22.111,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:51:42Z,8 Iron,10,51.564,41.678,1.2372,146.739,147.784,5923,-430,0,27.2032,6.0295,-6.511,34.0353,-4.1628,0.8355,-2.7302,1.381,17.852,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:52:02Z,8 Iron,11,55.516,41.24,1.3462,156.849,157.174,6515,-564,1,36.3671,6.7903,-6.043,37.6973,-4.9659,-7.4963,-3.9318,-1.322,20.215,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:52:56Z,8 Iron,12,55.943,41.231,1.3568,155.117,155.031,6388,-551,0,43.368,7.1958,-5.496,44.7191,-4.9476,-1.8141,-4.0104,0.797,24.317,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:54:30Z,8 Iron,14,55.102,38.564,1.4288,159.465,160.52,5677,-1338,0,36.2551,6.7581,-4.613,37.817,-13.63,-14.4546,-10.5137,-1.437,21.107,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:55:05Z,8 Iron,15,52.093,41.737,1.2481,149.719,152.698,5163,-1236,0,20.374,5.4863,-5.024,24.9206,-13.8505,-8.8525,-8.4033,-0.194,13.738,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:55:33Z,8 Iron,16,54.025,41.223,1.3106,149.955,150.02,6699,-631,1,37.1222,6.7657,-3.623,36.4179,-5.4043,-1.9391,-4.0938,0.807,21.955,draw,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:35:03Z,7 Iron,1,53.843,38.665,1.3926,152.883,153.557,6057,-713,1,35.5869,6.6735,-5.636,39.3379,-6.7601,-2.7735,-5.0197,0.826,21.386,draw,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:35:39Z,7 Iron,2,53.645,38.535,1.3921,152.361,153.098,6123,-286,1,34.0665,6.576,-6.483,38.9738,-2.6769,0.6219,-1.9652,0.959,20.499,straight,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:36:09Z,7 Iron,3,53.8,40.651,1.3235,159.252,160.945,4882,-950,0,33.1536,6.5165,-4.722,36.7272,-11.2202,-11.6064,-7.9939,-1.317,20.662,draw,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:37:07Z,7 Iron,4,52.265,39.617,1.3193,154.33,156.296,4657,-353,0,32.7839,6.4341,-4.837,38.2279,-4.3468,1.8818,-2.9052,1.742,21.718,draw,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:37:42Z,7 Iron,5,56.313,41.224,1.366,158.461,158.579,6276,139,0,41.5077,7.1187,-7.431,45.2358,1.269,9.23,1.0375,2.933,22.791,straight,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:38:20Z,7 Iron,6,54.661,41.863,1.3057,150.998,150.885,7103,444,1,36.5137,6.7547,-6.016,38.6887,3.5834,12.3675,2.7812,3.613,20.799,push/fade,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:39:05Z,7 Iron,7,55.289,41.277,1.3395,157.734,158.337,6030,-1172,1,37.837,6.861,-5.691,40.618,-11.2056,-7.3756,-8.7915,0.495,21.669,draw,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:39:37Z,7 Iron,8,56.197,40.015,1.4044,163.917,164.917,5427,-39,0,38.8136,6.9766,-5.445,39.139,-0.4117,2.0646,-0.3282,0.821,21.649,straight,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:40:45Z,7 Iron,9,56.551,41.671,1.3571,161.725,162.18,5912,-630,1,40.8653,7.0967,-4.559,39.1278,-6.1165,-4.4501,-5.0067,0.17,22.388,draw,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:41:24Z,7 Iron,10,58.52,41.37,1.4146,171.94,172.825,5503,-653,0,40.883,7.1882,-5.994,39.2888,-6.8138,-5.8416,-5.8666,-0.016,20.999,draw,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:48:08Z,7 Iron,1,52.298,39.118,1.3369,150.883,152.181,5451,-192,0,29.078,6.1968,-8.659,39.7718,-2.0184,-0.3521,-1.3597,0.364,18.744,straight,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:48:42Z,7 Iron,2,52.961,38.807,1.3647,152.473,153.7,5663,-534,1,28.0207,6.151,-3.473,27.8519,-5.4106,-3.4661,-3.7233,0.085,17.452,draw,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:49:29Z,7 Iron,3,57.322,41.654,1.3761,168.851,170.068,5515,259,0,33.9656,6.7379,-6.359,33.785,2.6917,11.2117,2.1838,3.055,17.906,straight,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:50:07Z,7 Iron,4,54.165,39.867,1.3586,155.816,156.829,5748,506,0,33.3879,6.5594,-6.326,37.5174,5.05,11.4295,3.7349,2.815,19.836,fade,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:52:06Z,7 Iron,7,54.141,40.076,1.351,154.668,155.573,6128,-1038,1,30.3858,6.3563,-7.952,37.3409,-9.7513,-10.1079,-7.1669,-1.109,17.855,draw,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:52:49Z,7 Iron,8,54.045,40.426,1.3369,161.348,163.517,4601,-670,0,32.1359,6.4667,-5.457,36.436,-8.3731,-5.8097,-5.9156,0.022,19.979,draw,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:53:29Z,7 Iron,9,55.832,42.896,1.3016,156.093,156.198,6224,-11,1,41.7086,7.1096,-6.124,43.9151,-0.1013,8.5169,-0.0813,3.147,23.387,straight,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:54:05Z,7 Iron,10,53.695,40.514,1.3253,150.694,151.344,6697,-921,1,30.2631,6.3269,-7.449,35.9969,-7.9039,-5.1541,-5.7786,0.222,17.784,draw,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:54:56Z,7 Iron,11,57.121,41.265,1.3842,168.415,169.674,5429,-839,0,34.868,6.7768,-7.588,38.1946,-8.8898,-10.4029,-7.1926,-1.108,18.718,draw,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:55:39Z,7 Iron,12,54.22,38.807,1.3972,155.959,157.009,5921,-572,0,28.793,6.2597,-7.332,33.7368,-5.5431,-4.6108,-4.0206,-0.232,16.824,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:45:14Z,8 Iron,1,51.2,39.082,1.3101,143.158,143.79,6055,-272,0,34.105,6.4695,-6.203,42.9751,-2.5746,-2.5644,-1.731,-0.354,22.811,straight,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:45:57Z,8 Iron,2,49.474,40.356,1.2259,136.912,137.704,6543,-221,1,23.7374,5.6785,-6.1,31.2859,-1.9354,5.823,-1.1585,2.896,16.823,straight,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:47:06Z,8 Iron,4,51.855,40.294,1.2869,146.32,147.146,6131,-649,0,31.5779,6.3368,-4.444,35.2012,-6.076,-4.6058,-4.1527,-0.201,20.468,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:47:51Z,8 Iron,5,51.223,40.667,1.2596,137.327,136.992,7265,321,0,36.1747,6.5828,-6.643,45.7526,2.5324,3.3754,1.7402,0.664,23.905,straight,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:48:39Z,8 Iron,6,51.469,40.829,1.2606,138.796,138.506,7600,-73,1,33.1251,6.4081,-7.755,43.0788,-0.5503,2.3014,-0.3803,1.086,21.337,straight,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:49:18Z,8 Iron,7,54.523,40.98,1.3305,152.027,152.132,6549,-264,1,38.0591,6.8452,-7.336,43.8786,-2.3102,0.2194,-1.7784,0.736,22.135,straight,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:50:15Z,8 Iron,8,53.401,41.163,1.2973,146.783,146.762,6444,-140,0,40.0274,6.9062,-4.802,43.6509,-1.2448,0.0458,-0.9228,0.357,24.571,straight,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:51:04Z,8 Iron,9,53.685,40.149,1.3371,148.975,149.084,6652,-589,1,36.8616,6.7364,-5.218,39.7893,-5.0798,-2.1416,-3.7985,0.617,22.111,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:51:42Z,8 Iron,10,51.564,41.678,1.2372,146.739,147.784,5923,-430,0,27.2032,6.0295,-6.511,34.0353,-4.1628,0.8355,-2.7302,1.381,17.852,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:52:02Z,8 Iron,11,55.516,41.24,1.3462,156.849,157.174,6515,-564,1,36.3671,6.7903,-6.043,37.6973,-4.9659,-7.4963,-3.9318,-1.322,20.215,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:52:56Z,8 Iron,12,55.943,41.231,1.3568,155.117,155.031,6388,-551,0,43.368,7.1958,-5.496,44.7191,-4.9476,-1.8141,-4.0104,0.797,24.317,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:54:30Z,8 Iron,14,55.102,38.564,1.4288,159.465,160.52,5677,-1338,0,36.2551,6.7581,-4.613,37.817,-13.63,-14.4546,-10.5137,-1.437,21.107,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:55:05Z,8 Iron,15,52.093,41.737,1.2481,149.719,152.698,5163,-1236,0,20.374,5.4863,-5.024,24.9206,-13.8505,-8.8525,-8.4033,-0.194,13.738,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:55:33Z,8 Iron,16,54.025,41.223,1.3106,149.955,150.02,6699,-631,1,37.1222,6.7657,-3.623,36.4179,-5.4043,-1.9391,-4.0938,0.807,21.955,draw,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:35:03Z,7 Iron,1,53.843,38.665,1.3926,152.883,153.557,6057,-713,1,35.5869,6.6735,-5.636,39.3379,-6.7601,-2.7735,-5.0197,0.826,21.386,draw,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:35:39Z,7 Iron,2,53.645,38.535,1.3921,152.361,153.098,6123,-286,1,34.0665,6.576,-6.483,38.9738,-2.6769,0.6219,-1.9652,0.959,20.499,straight,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:36:09Z,7 Iron,3,53.8,40.651,1.3235,159.252,160.945,4882,-950,0,33.1536,6.5165,-4.722,36.7272,-11.2202,-11.6064,-7.9939,-1.317,20.662,draw,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:37:07Z,7 Iron,4,52.265,39.617,1.3193,154.33,156.296,4657,-353,0,32.7839,6.4341,-4.837,38.2279,-4.3468,1.8818,-2.9052,1.742,21.718,draw,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:37:42Z,7 Iron,5,56.313,41.224,1.366,158.461,158.579,6276,139,0,41.5077,7.1187,-7.431,45.2358,1.269,9.23,1.0375,2.933,22.791,straight,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:38:20Z,7 Iron,6,54.661,41.863,1.3057,150.998,150.885,7103,444,1,36.5137,6.7547,-6.016,38.6887,3.5834,12.3675,2.7812,3.613,20.799,push/fade,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:39:05Z,7 Iron,7,55.289,41.277,1.3395,157.734,158.337,6030,-1172,1,37.837,6.861,-5.691,40.618,-11.2056,-7.3756,-8.7915,0.495,21.669,draw,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:39:37Z,7 Iron,8,56.197,40.015,1.4044,163.917,164.917,5427,-39,0,38.8136,6.9766,-5.445,39.139,-0.4117,2.0646,-0.3282,0.821,21.649,straight,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:40:45Z,7 Iron,9,56.551,41.671,1.3571,161.725,162.18,5912,-630,1,40.8653,7.0967,-4.559,39.1278,-6.1165,-4.4501,-5.0067,0.17,22.388,draw,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:41:24Z,7 Iron,10,58.52,41.37,1.4146,171.94,172.825,5503,-653,0,40.883,7.1882,-5.994,39.2888,-6.8138,-5.8416,-5.8666,-0.016,20.999,draw,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:48:08Z,7 Iron,1,52.298,39.118,1.3369,150.883,152.181,5451,-192,0,29.078,6.1968,-8.659,39.7718,-2.0184,-0.3521,-1.3597,0.364,18.744,straight,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:48:42Z,7 Iron,2,52.961,38.807,1.3647,152.473,153.7,5663,-534,1,28.0207,6.151,-3.473,27.8519,-5.4106,-3.4661,-3.7233,0.085,17.452,draw,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:49:29Z,7 Iron,3,57.322,41.654,1.3761,168.851,170.068,5515,259,0,33.9656,6.7379,-6.359,33.785,2.6917,11.2117,2.1838,3.055,17.906,straight,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:50:07Z,7 Iron,4,54.165,39.867,1.3586,155.816,156.829,5748,506,0,33.3879,6.5594,-6.326,37.5174,5.05,11.4295,3.7349,2.815,19.836,fade,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:52:06Z,7 Iron,7,54.141,40.076,1.351,154.668,155.573,6128,-1038,1,30.3858,6.3563,-7.952,37.3409,-9.7513,-10.1079,-7.1669,-1.109,17.855,draw,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:52:49Z,7 Iron,8,54.045,40.426,1.3369,161.348,163.517,4601,-670,0,32.1359,6.4667,-5.457,36.436,-8.3731,-5.8097,-5.9156,0.022,19.979,draw,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:53:29Z,7 Iron,9,55.832,42.896,1.3016,156.093,156.198,6224,-11,1,41.7086,7.1096,-6.124,43.9151,-0.1013,8.5169,-0.0813,3.147,23.387,straight,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:54:05Z,7 Iron,10,53.695,40.514,1.3253,150.694,151.344,6697,-921,1,30.2631,6.3269,-7.449,35.9969,-7.9039,-5.1541,-5.7786,0.222,17.784,draw,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:54:56Z,7 Iron,11,57.121,41.265,1.3842,168.415,169.674,5429,-839,0,34.868,6.7768,-7.588,38.1946,-8.8898,-10.4029,-7.1926,-1.108,18.718,draw,ShortIndoor
5534658,2022-10-25 18:45:08,2022-10-25T18:55:39Z,7 Iron,12,54.22,38.807,1.3972,155.959,157.009,5921,-572,0,28.793,6.2597,-7.332,33.7368,-5.5431,-4.6108,-4.0206,-0.232,16.824,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:45:14Z,8 Iron,1,51.2,39.082,1.3101,143.158,143.79,6055,-272,0,34.105,6.4695,-6.203,42.9751,-2.5746,-2.5644,-1.731,-0.354,22.811,straight,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:45:57Z,8 Iron,2,49.474,40.356,1.2259,136.912,137.704,6543,-221,1,23.7374,5.6785,-6.1,31.2859,-1.9354,5.823,-1.1585,2.896,16.823,straight,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:47:06Z,8 Iron,4,51.855,40.294,1.2869,146.32,147.146,6131,-649,0,31.5779,6.3368,-4.444,35.2012,-6.076,-4.6058,-4.1527,-0.201,20.468,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:47:51Z,8 Iron,5,51.223,40.667,1.2596,137.327,136.992,7265,321,0,36.1747,6.5828,-6.643,45.7526,2.5324,3.3754,1.7402,0.664,23.905,straight,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:48:39Z,8 Iron,6,51.469,40.829,1.2606,138.796,138.506,7600,-73,1,33.1251,6.4081,-7.755,43.0788,-0.5503,2.3014,-0.3803,1.086,21.337,straight,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:49:18Z,8 Iron,7,54.523,40.98,1.3305,152.027,152.132,6549,-264,1,38.0591,6.8452,-7.336,43.8786,-2.3102,0.2194,-1.7784,0.736,22.135,straight,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:50:15Z,8 Iron,8,53.401,41.163,1.2973,146.783,146.762,6444,-140,0,40.0274,6.9062,-4.802,43.6509,-1.2448,0.0458,-0.9228,0.357,24.571,straight,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:51:04Z,8 Iron,9,53.685,40.149,1.3371,148.975,149.084,6652,-589,1,36.8616,6.7364,-5.218,39.7893,-5.0798,-2.1416,-3.7985,0.617,22.111,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:51:42Z,8 Iron,10,51.564,41.678,1.2372,146.739,147.784,5923,-430,0,27.2032,6.0295,-6.511,34.0353,-4.1628,0.8355,-2.7302,1.381,17.852,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:52:02Z,8 Iron,11,55.516,41.24,1.3462,156.849,157.174,6515,-564,1,36.3671,6.7903,-6.043,37.6973,-4.9659,-7.4963,-3.9318,-1.322,20.215,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:52:56Z,8 Iron,12,55.943,41.231,1.3568,155.117,155.031,6388,-551,0,43.368,7.1958,-5.496,44.7191,-4.9476,-1.8141,-4.0104,0.797,24.317,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:54:30Z,8 Iron,14,55.102,38.564,1.4288,159.465,160.52,5677,-1338,0,36.2551,6.7581,-4.613,37.817,-13.63,-14.4546,-10.5137,-1.437,21.107,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:55:05Z,8 Iron,15,52.093,41.737,1.2481,149.719,152.698,5163,-1236,0,20.374,5.4863,-5.024,24.9206,-13.8505,-8.8525,-8.4033,-0.194,13.738,draw,ShortIndoor
5531332,2022-10-24 17:43:52,2022-10-24T17:55:33Z,8 Iron,16,54.025,41.223,1.3106,149.955,150.02,6699,-631,1,37.1222,6.7657,-3.623,36.4179,-5.4043,-1.9391,-4.0938,0.807,21.955,draw,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:35:03Z,7 Iron,1,53.843,38.665,1.3926,152.883,153.557,6057,-713,1,35.5869,6.6735,-5.636,39.3379,-6.7601,-2.7735,-5.0197,0.826,21.386,draw,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:35:39Z,7 Iron,2,53.645,38.535,1.3921,152.361,153.098,6123,-286,1,34.0665,6.576,-6.483,38.9738,-2.6769,0.6219,-1.9652,0.959,20.499,straight,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:36:09Z,7 Iron,3,53.8,40.651,1.3235,159.252,160.945,4882,-950,0,33.1536,6.5165,-4.722,36.7272,-11.2202,-11.6064,-7.9939,-1.317,20.662,draw,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:37:07Z,7 Iron,4,52.265,39.617,1.3193,154.33,156.296,4657,-353,0,32.7839,6.4341,-4.837,38.2279,-4.3468,1.8818,-2.9052,1.742,21.718,draw,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:37:42Z,7 Iron,5,56.313,41.224,1.366,158.461,158.579,6276,139,0,41.5077,7.1187,-7.431,45.2358,1.269,9.23,1.0375,2.933,22.791,straight,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:38:20Z,7 Iron,6,54.661,41.863,1.3057,150.998,150.885,7103,444,1,36.5137,6.7547,-6.016,38.6887,3.5834,12.3675,2.7812,3.613,20.799,push/fade,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:39:05Z,7 Iron,7,55.289,41.277,1.3395,157.734,158.337,6030,-1172,1,37.837,6.861,-5.691,40.618,-11.2056,-7.3756,-8.7915,0.495,21.669,draw,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:39:37Z,7 Iron,8,56.197,40.015,1.4044,163.917,164.917,5427,-39,0,38.8136,6.9766,-5.445,39.139,-0.4117,2.0646,-0.3282,0.821,21.649,straight,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:40:45Z,7 Iron,9,56.551,41.671,1.3571,161.725,162.18,5912,-630,1,40.8653,7.0967,-4.559,39.1278,-6.1165,-4.4501,-5.0067,0.17,22.388,draw,ShortIndoor
5530232,2022-10-23 23:34:41,2022-10-23T23:41:24Z,7 Iron,10,58.52,41.37,1.4146,171.94,172.825,5503,-653,0,40.883,7.1882,-5.994,39.2888,-6.8138,-5.8416,-5.8666,-0.016,20.999,draw,ShortIndoor
5530233,2022-10-23 22:09:11,2022-10-23T22:10:11Z,Pitching Wedge,2,46.472,37.749,1.2311,119.933,119.5,7379,-373,0,33.5587,6.2146,-5.291,48.8621,-2.8973,-8.1201,-1.6266,-3.141,27.326,straight,ShortIndoor
5530233,2022-10-23 22:09:11,2022-10-23T22:10:55Z,Pitching Wedge,3,46.856,38.303,1.2233,124.55,124.888,5606,-161,1,37.4072,6.4677,-5.245,53.344,-1.6456,-0.1398,-0.917,0.323,30.389,straight,ShortIndoor
5530233,2022-10-23 22:09:11,2022-10-23T22:11:38Z,Pitching Wedge,4,47.892,39.878,1.201,119.795,119.05,7255,116,0,40.2515,6.6604,-6.215,56.0225,0.916,6.5306,0.5449,2.828,31.217,straight,ShortIndoor
5530233,2022-10-23 22:09:11,2022-10-23T22:12:32Z,Pitching Wedge,6,48.594,39.872,1.2188,124.046,123.474,6973,-605,0,40.2206,6.6912,-6.806,55.6363,-4.9772,-5.1067,-3.0559,-0.976,30.263,draw,ShortIndoor
5530233,2022-10-23 22:09:11,2022-10-23T22:13:22Z,Pitching Wedge,8,46.795,37.958,1.2328,125.027,125.419,5674,126,1,36.2674,6.3997,-6.268,53.5394,1.2724,5.0239,0.7084,1.943,29.502,straight,ShortIndoor
5530233,2022-10-23 22:09:11,2022-10-23T22:14:10Z,Pitching Wedge,9,49.834,40.29,1.2369,125.108,124.245,7506,-602,0,42.3362,6.8545,-4.848,52.7828,-4.6001,-5.6317,-2.9815,-1.247,30.335,draw,ShortIndoor
5530233,2022-10-23 22:09:11,2022-10-23T22:14:39Z,Pitching Wedge,10,48.012,40.349,1.1899,130.875,131.534,5252,31,1,37.8698,6.5508,-7.593,55.3198,0.3382,3.1811,0.1972,1.271,29.372,straight,ShortIndoor
5530233,2022-10-23 22:09:11,2022-10-23T22:15:04Z,Pitching Wedge,11,49.75,41.053,1.2118,123.534,122.503,8041,-120,0,41.6683,6.8158,-5.587,53.0386,-0.855,1.8632,-0.5538,1.083,29.852,straight,ShortIndoor
